Nest type,Nest,Date,Group size,No. arrivals,Total Brood,Brood_per_active_day,Days.Active,Foraging.Time.Total,Prop_time_off_nest,Average_Forage,Total_Available,Av_w_size,Q_size,Relative_Size_Diff,Active
QL,178,18/06/2019,3,4,2,0.2,10,690.2333333,0.636746617,345.1166664,542,1.918,1.891,-0.01427816,1
QL,186,20/06/2018,5,25,14,1.75,8,1297.766667,0.619163486,324.9163587,524.7666667,1.90825,1.814,-0.051957001,0
QL,195,15/06/2019,4,25,6,0.857142857,7,1024.533333,0.464978367,256.1333335,550.85,1.913,2.353,0.186995325,1
QL,197,15/06/2019,4,24,40,2.222222222,18,1082.016667,0.627619876,345.9649963,551.2333333,1.91625,1.988,0.036091549,0
QL,215,13/06/2018,3,32,17,1.214285714,14,1111.9,0.681311275,370.8945029,544.3833333,1.8475,1.989,0.071141277,1
QL,219,22/06/2019,4,27,20,1.666666667,12,1048.65,0.650931099,349.636791,537.1333333,1.9985,1.998,-0.00025025,0
QL,223,18/06/2019,4,16,10,0.909090909,11,581.8,0.353259055,193.9333335,548.9833333,1.764333333,2.301,0.233231928,1
QL,238,22/06/2019,5,15,22,2,11,1495.433333,0.692330247,373.9852606,540.1833333,1.959,1.938,-0.010835913,0
QL,239,09/06/2018,2,8,6,0.545454545,11,541.15,0.49646789,270.930802,545.7166667,1.838,1.622,-0.133168927,1
QL,252,20/06/2019,3,9,11,1,11,515.7666667,0.477119951,257.8833335,540.5,1.942,1.957,0.007664793,1
QL,308,13/06/2018,4,26,12,0.923076923,13,1302.6,0.593169399,325.6598862,549.0166667,1.736,2.001,0.132433783,0
QL,313,11/06/2019,2,10,4,0.571428571,7,287.9833333,0.529494683,287.9833332,543.8833333,1.9025,1.877,-0.013585509,1
QL,382,18/06/2019,2,7,3,0.375,8,432.5166667,0.395028465,216.2583332,547.45,2.069,2.094,0.011938873,0
QL,426,20/06/2018,4,15,10,0.625,16,1104.5,0.686707287,368.1666668,536.1333333,1.912666667,1.857,-0.029976665,1
QL,440,19/06/2019,4,28,13,0.928571429,14,942.9333333,0.434304664,235.7333332,542.7833333,1.965,2.016,0.025297619,0
QL,467,18/06/2019,6,21,12,0.857142857,14,1435.716667,0.525454435,287.1433336,546.4666667,1.904666667,1.901,-0.00192881,0
QL,468,13/06/2019,4,23,20,2.222222222,9,1239.066667,0.583152043,317.020889,543.6333333,1.9845,1.932,-0.027173913,0
QL,483,19/06/2019,4,23,11,1,11,965,0.609070211,335.9631284,551.6,1.674,1.904,0.120798319,0
QL,620,23/06/2018,5,13,11,0.611111111,18,1131.866667,0.514406908,282.9666666,550.0833333,1.8425,1.803,-0.021907931,1
QL,675,19/06/2019,4,30,20,1.428571429,14,1265.3,0.766964692,421.7666669,549.9166667,1.875,1.988,0.056841046,1
QR,48,19/06/2018,3,16,12,0.923076923,13,599.7333333,0.365713357,199.9111114,546.6333333,1.881,2.18,0.137155963,1
QR,60,19/06/2018,1,6,7,0.875,8,192.1333333,0.35048036,192.1333334,548.2,1.916,2.313,0.171638565,0
QR,104,18/06/2018,4,39,18,1.285714286,14,1521.116667,0.69836774,381.1458336,545.7666667,1.8825,2.216,0.15049639,1
QR,115,23/06/2019,3,42,14,1.166666667,12,1176.083333,0.71305868,392.027778,549.7833333,1.9145,2.2,0.129772727,1
QR,118,19/06/2018,3,20,14,1.272727273,11,1040.2,0.623228783,346.7333334,556.35,1.9415,2.105,0.077672209,0
QR,158,20/06/2018,5,52,17,1.214285714,14,1716.016667,0.596548661,313.4266665,525.4,1.9045,2.372,0.197091062,0
QR,163,15/06/2018,2,32,16,1.066666667,15,831.5166667,0.743443405,415.7583335,559.2333333,NA,NA,NA,1
QR,166,13/06/2018,4,46,17,1.307692308,13,1804.366667,0.836439211,451.0916665,539.3,1.782,2.19,0.18630137,1
QR,167,13/06/2018,3,28,17,2.125,8,1044.9,0.640041653,348.3000002,544.1833333,1.9715,2.288,0.13833042,0
QR,193,10/06/2018,4,19,11,1.1,10,1184.3,0.538857039,296.0750001,549.45,1.9065,2.182,0.126260312,1
QR,199,15/06/2018,3,38,4,0.363636364,11,1318.45,0.796117384,439.4833332,552.0333333,NA,NA,NA,1
QR,213,15/06/2018,6,71,16,1.6,10,2490.233333,0.740083611,415.038889,560.8,1.828,2.266,0.193292145,1
QR,217,20/06/2018,3,24,14,1.076923077,13,1004.616667,0.617503637,334.8722223,542.3,1.7625,2.224,0.207508993,1
QR,231,13/06/2018,5,43,17,0.944444444,18,1730.883333,0.635867136,346.1766666,544.4166667,1.924,2.116,0.09073724,1
QR,237,20/06/2018,2,25,9,0.6,15,731.3833333,0.450137453,243.7944445,541.6,1.891,2.206,0.142792384,1
QR,311,18/06/2018,8,78,36,2,18,3396.9,0.786950948,424.6124998,539.5666667,1.889,2.263,0.165267344,1
QR,312,15/06/2018,4,34,18,1.058823529,17,1079.383333,0.499313822,269.8458332,540.4333333,1.801,2.318,0.223037101,1
QR,315,15/06/2018,4,40,15,1.363636364,11,1159.816667,0.521125389,289.9541664,556.4,1.977,2.23,0.113452915,1
QR,324,09/06/2018,3,36,13,1.181818182,11,1012.9,0.625903726,337.6333333,539.4333333,1.74,2.091,0.167862267,1
QR,334,22/06/2018,1,11,10,0.555555556,18,401.3833333,0.725828813,401.3833336,553,1.845,2.271,0.187582563,0
QR,381,18/06/2018,2,10,13,0.866666667,15,853.05,0.78001463,426.5249999,546.8166667,1.924,2.274,0.153913808,1
QR,421,13/06/2018,2,20,6,0.666666667,9,668.0166667,0.627127926,334.0083334,532.6,1.855,2.228,0.167414722,1
QR,487,18/06/2018,3,9,12,0.857142857,14,805.0833333,0.493084265,268.3611112,544.25,1.902,2.205,0.137414966,1
QR,536,15/06/2018,5,23,7,0.4375,16,1435.916667,0.530315154,287.1833331,541.5333333,1.9065,2.311,0.175032453,1
QR,561,19/06/2018,2,4,8,0.615384615,13,1000.816667,0.906728475,500.4083332,551.8833333,1.941,2.253,0.138482024,0
QR,563,20/06/2018,4,31,28,1.555555556,18,1395.416667,0.65109027,348.8541667,535.8,1.867,2.287,0.183646699,1
QR,592,15/06/2018,6,51,32,2,16,1975.983333,0.597461172,329.3305557,551.2166667,1.8675,2.161,0.135816752,0
QR,659,19/06/2018,6,64,42,2.333333333,18,2186.566667,0.672375974,364.4277779,542,1.8865,2.132,0.115150094,0
QR,691,10/06/2018,4,46,9,0.9,10,1478.6,0.67682871,369.65,546.15,1.791,2.142,0.163865546,1
QR,489,18/06/2018,6,32,17,1,17,1764.2,0.538999725,294.0333333,545.5166667,NA,NA,NA,0
QR,161,19/06/2020,8,52,12,0.923076923,13,2886.55,0.664756502,360.81875,542.7833333,NA,NA,NA,1
QR,191,13/06/2020,6,44,18,3,6,1738.8,0.532117391,289.7999998,544.6166667,NA,NA,NA,0
QR,13,19/06/2018,3,26,15,1.071428571,14.00000001,995.05,0.600857462,331.6833333,552.0166667,NA,NA,NA,0
QR,418,18/06/2018,5,25,12,0.75,16,1347.65,0.550464661,300.1133332,545.2,NA,NA,NA,1
